Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Run Accession	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile
GCF_016727445.1	Morganella morganii	582	PRJNA231221	SAMN16357254	ASM1672744v1	FDAARGOS_1085	FDAARGOS_1085	Illumina;PacBio	1	3975033	1127.6		SRR12934874	PACBIO_SMRT	90.78	4.76	53.107346
GCF_020911745.1	Morganella morganii	582	PRJNA549513	SAMN19659029	ASM2091174v1	CTX51T	CTX51T	PacBio	2	4193911	110.0		SRR17841631	PACBIO_SMRT	90.91	18.33	55.932205
GCF_023203295.1	Morganella morganii	582	PRJNA288601	SAMN27992994	ASM2320329v3	2022CK-00284	2022CK-00284	Illumina;ONT	2	4145216	20.0		SRR25479598	OXFORD_NANOPORE	90.34	13.49	46.045197
GCF_028546535.1	Morganella morganii	582	PRJNA288601	SAMN33190968	ASM2854653v3	2022JQ-00674	2022JQ-00674	Illumina;ONT	2	4176521	20.0		SRR26412748	OXFORD_NANOPORE	94.5	9.7	91.52542
GCF_034424335.1	Morganella morganii	582	PRJNA1047486	SAMN38562704	ASM3442433v1	HAMBI_1292	HAMBI_1292	PacBio	1	3814514	234.0		SRR27033683	PACBIO_SMRT	89.51	2.53	30.225988
GCF_040897325.1	Morganella morganii	582	PRJNA288601	SAMN42837554	ASM4089732v2	2024CK-01033	2024CK-01033	Illumina;ONT	4	4061315	50.0		SRR30357355	OXFORD_NANOPORE	89.92	6.61	38.98305
GCF_949789215.1	Morganella morganii	582	PRJEB60605	SAMEA112774570	HIS2824_genome	HIS2824	HIS2824	ONT	2	4193938	385.0	SEABIOMIC	ERR11011590	OXFORD_NANOPORE	91.06	14.65	60.16949
GCF_006094455.1	Morganella morganii subsp. morganii	180434	PRJNA513394	SAMN10712293	ASM609445v1	ATCC 25830	ATCC 25830	ONT	1	3889903	160.0		SRR8480432	OXFORD_NANOPORE	90.19	4.06	42.937855
GCF_008931805.1	Moritella marina ATCC 15381	1202962	PRJNA558324	SAMN12502771	ASM893180v1	MP-1	MP-1	Illumina;ONT	2	4760425	652.0		SRR9902265	OXFORD_NANOPORE	98.73	1.59	33.333332
GCF_028596025.1	Mucilaginibacter jinjuensis	1176721	PRJNA930584	SAMN33013692	ASM2859602v1	KACC 16571	KACC 16571	Illumina;PacBio	1	6157393	272.0		SRR23952319	PACBIO_SMRT	98.26	1.45	100.0
GCF_034262375.1	Mucilaginibacter sabulilitoris	1173583	PRJNA1045330	SAMN38441059	ASM3426237v1	SNA2	SNA2	PacBio	1	7552305	32.0		SRR26961106	PACBIO_SMRT	97.14	1.21	100.0
GCF_019331605.1	Mucilaginibacter sp. 21P	2778902	PRJNA667924	SAMN16392370	ASM1933160v1	21P	21P	Illumina;ONT	1	4739655	64.0		SRR15216001	OXFORD_NANOPORE	97.97	1.45	100.0
GCF_034263275.1	Mucilaginibacter sp. cycad4	3342096	PRJNA1045330	SAMN38441060	ASM3426327v1	cycad4	cycad4	PacBio	1	7111297	34.0		SRR26961105	PACBIO_SMRT	98.74	2.97	100.0
GCF_041320275.1	Mumia sp. Pv4-285	3234852	PRJNA1132915	SAMN42361281	Pv4-285_AS6	Pv4-285	Pv4-285	Illumina;ONT	1	4649352	153.0		SRR29821702	OXFORD_NANOPORE	98.09	0.95	100.0
GCF_001688845.2	Muribaculum intestinale	1796646	PRJNA317592	SAMN04621612	ASM168884v2	YL27	YL27	PacBio	1	3306457	178.2		SRR3371359	PACBIO_SMRT	98.56		100.0
GCF_004139715.1	Muriicola soli	2507538	PRJNA515365	SAMN10754312	ASM413971v1	MMS17-SY002	MMS17-SY002	PacBio	1	3067493	210.0		SRR8453750	PACBIO_SMRT	96.12	1.13	100.0
GCF_037478035.1	Mycetohabitans endofungorum	417203	PRJNA662973	SAMN16112608	ASM3747803v1	B60	B60	PacBio	3	3610257	434.0		SRR29686922	PACBIO_SMRT	98.41		100.0
GCF_037477895.1	Mycetohabitans endofungorum	417203	PRJNA1004678	SAMN36949874	ASM3747789v1	B13/HKI 0402	B13/HKI 0402	PacBio	2	3550038	136.0		SRR29686917	PACBIO_SMRT	97.74		71.42857
GCF_037477905.1	Mycetohabitans endofungorum	417203	PRJNA1004678	SAMN36949875	ASM3747790v1	B14/HKI 0403	B14/HKI 0403	PacBio	3	3643928	172.0		SRR29686916	PACBIO_SMRT	97.74		71.42857
GCF_037478075.1	Mycetohabitans endofungorum	417203	PRJNA662973	SAMN16112603	ASM3747807v1	B5	B5	PacBio	2	3355449	402.0		SRR29686923	PACBIO_SMRT	97.46	0.45	28.571428
GCF_037478085.1	Mycetohabitans endofungorum	417203	PRJNA662973	SAMN16112602	ASM3747808v1	B3	B3	PacBio	2	3541851	463.0		SRR29686924	PACBIO_SMRT	97.74		71.42857
GCF_037478055.1	Mycetohabitans rhizoxinica	412963	PRJNA662973	SAMN16112606	ASM3747805v1	B47	B47	PacBio	2	3471072	770.0		SRR29686921	PACBIO_SMRT	98.35		100.0
GCF_037478045.1	Mycetohabitans rhizoxinica	412963	PRJNA662973	SAMN16112607	ASM3747804v1	B49	B49	PacBio	2	3533936	925.0		SRR29686919	PACBIO_SMRT	97.46		50.0
GCF_037478065.1	Mycetohabitans rhizoxinica	412963	PRJNA662973	SAMN16112604	ASM3747806v1	B12	B12	PacBio	3	3802698	734.0		SRR29686920	PACBIO_SMRT	98.1		75.0
GCF_014218255.1	Mycoavidus sp. B2-EB	2651972	PRJDB8845	SAMD00189823	ASM1421825v1	B2-EB	B2-EB	Illumina;PacBio	1	1876900	1117.0	Complete genome sequence of Mycoavidus sp. B2-EB, an endobacterial isolate from the host fungus Mortierella parvispora	DRR194974	PACBIO_SMRT	85.95	0.67	100.0
GCF_001683455.1	Mycobacterium avium	1764	PRJNA305474	SAMN04325949	ASM168345v1	RCAD0278	RCAD0278	PacBio	1	4953610	15.0		SRR3501121	PACBIO_SMRT	97.49	1.35	61.056107
GCF_009741445.1	Mycobacterium avium subsp. avium	44454	PRJNA591110	SAMN13352280	ASM974144v1	DSM 44156	DSM 44156	Illumina;PacBio	1	4956929	87.0		SRR10541895	PACBIO_SMRT	96.05	0.98	23.10231
GCF_020735285.1	Mycobacterium avium subsp. avium	44454	PRJNA231221	SAMN22365136	ASM2073528v1	FDAARGOS_1607	FDAARGOS_1607	Illumina;PacBio	1	4956930	8160.0		SRR17120048	PACBIO_SMRT	96.12	0.98	24.09241
GCF_020735405.1	Mycobacterium avium subsp. avium	44454	PRJNA231221	SAMN22365135	ASM2073540v1	FDAARGOS_1606	FDAARGOS_1606	Illumina;PacBio	1	4960554	8881.0		SRR17119756	PACBIO_SMRT	96.71	1.04	33.9934
GCF_021183805.1	Mycobacterium avium subsp. avium	44454	PRJNA231221	SAMN23242878	ASM2118380v1	FDAARGOS_1609	FDAARGOS_1609	Illumina;PacBio	1	4955559	6337.8		SRR17120861	PACBIO_SMRT	96.12	0.98	24.09241
GCF_003408535.1	Mycobacterium avium subsp. hominissuis	439334	PRJNA464043	SAMN09074392	ASM340853v1	MAC109	MAC109	Illumina;PacBio	3	5352499			SRR7121404	PACBIO_SMRT	98.86	3.08	100.0
GCF_005518015.1	Mycobacterium avium subsp. hominissuis	439334	PRJNA532547	SAMN11403589	ASM551801v1	101174	101174	Illumina;ONT	3	5167741	75.7		SRR8924506	OXFORD_NANOPORE	94.81	2.34	14.19142
GCF_005518035.1	Mycobacterium avium subsp. hominissuis	439334	PRJNA532547	SAMN11403486	ASM551803v1	101034	101034	ONT	3	5368111	83.1		SRR8924504	OXFORD_NANOPORE	95.63	2.94	18.811882
GCF_005518055.1	Mycobacterium avium subsp. hominissuis	439334	PRJNA532547	SAMN11403599	ASM551805v1	101115	101115	Illumina;ONT	5	5393712	97.3		SRR8924505	OXFORD_NANOPORE	96.57	3.04	30.69307
GCF_009002535.1	Mycobacterium avium subsp. hominissuis	439334	PRJDB8716	SAMD00184123	ASM900253v1	JP-H-1	JP-H-1	Other;ONT	4	5735250	526.0	not applicable	DRR190793	OXFORD_NANOPORE	94.29	4.56	12.871287
GCF_002208705.2	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA231221	SAMN06173318	ASM220870v2	FDAARGOS_305	FDAARGOS_305	Illumina;PacBio	1	4832477	17.7		SRR5413270	PACBIO_SMRT	97.08	0.31	42.90429
GCF_002208705.2	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA231221	SAMN06173318	ASM220870v2	FDAARGOS_305	FDAARGOS_305	Illumina;PacBio	1	4832477	17.7		SRR5413271	PACBIO_SMRT	97.08	0.31	42.90429
GCF_003957335.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA504678	SAMN10396996	ASM395733v1	Telford	Telford	Illumina;PacBio	1	4907428	80.0		SRR8177402	PACBIO_SMRT	95.71	0.52	19.471947
GCF_013357385.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA628963	SAMN14764132	ASM1335738v1	DSM 44135	DSM 44135	Illumina;PacBio	1	4839032	121.0		SRR11734764	PACBIO_SMRT	96.3	0.46	27.062706
GCF_013357385.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA628963	SAMN14764132	ASM1335738v1	DSM 44135	DSM 44135	Illumina;PacBio	1	4839032	121.0		SRR11734765	PACBIO_SMRT	96.3	0.46	27.062706
GCF_013357385.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA628963	SAMN14764132	ASM1335738v1	DSM 44135	DSM 44135	Illumina;PacBio	1	4839032	121.0		SRR11734766	PACBIO_SMRT	96.3	0.46	27.062706
GCF_013357385.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA628963	SAMN14764132	ASM1335738v1	DSM 44135	DSM 44135	Illumina;PacBio	1	4839032	121.0		SRR11734767	PACBIO_SMRT	96.3	0.46	27.062706
GCF_016749935.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJDB10997	SAMD00268082	ASM1674993v1	42-13-1	42-13-1	Illumina;PacBio	1	4832738	1000.0	Whole genome sequence analysis of Mycobacterium avium subsp. paratuberculosis strain 42-13-1	DRR263662	PACBIO_SMRT	97.39	0.46	56.435642
GCF_026689315.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA905375	SAMN31888651	ASM2668931v1	LN20	LN20	Illumina;PacBio	1	4887890	327.0		SRR22426155	PACBIO_SMRT	95.47	0.31	17.161716
GCF_034190785.1	Mycobacterium avium subsp. paratuberculosis	1770	PRJNA1043460	SAMN38341194	ASM3419078v1	6756	6756	PacBio	1	4830294	534.0		SRR26900944	PACBIO_SMRT	93.91	0.52	11.551155
GCF_000219085.2	Mycobacterium avium subsp. paratuberculosis S397	1010838	PRJNA66075	SAMN02470597	ASM21908v3	S397	S397	Illumina;ONT	1	4895755	73.0		SRR13195563	OXFORD_NANOPORE	96.54	0.46	30.033003
GCF_010728725.1	Mycobacterium branderi	43348	PRJDB7717	SAMD00153181	ASM1072872v1	JCM 12687	JCM 12687	Illumina;ONT	2	5979623	297.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161266	OXFORD_NANOPORE	98.64	0.9	100.0
GCF_035581225.1	Mycobacterium canetti	78331	PRJNA823537	SAMN27305103	ASM3558122v1	ET1291	ET1291	Illumina;ONT	1	4515631	367.0		SRR23035463	OXFORD_NANOPORE	98.52	0.59	35.897434
GCF_010730195.1	Mycobacterium conspicuum	44010	PRJDB7717	SAMD00153191	ASM1073019v1	JCM 14738	JCM 14738	Illumina;ONT	1	6237139	296.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161276	OXFORD_NANOPORE	98.69	0.49	100.0
GCF_010727945.1	Mycobacterium cookii	1775	PRJDB7717	SAMD00153177	ASM1072794v1	JCM 12404	JCM 12404	Illumina;ONT	1	5318517	333.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161262	OXFORD_NANOPORE	97.41	0.51	100.0
GCF_002157835.1	Mycobacterium dioxanotrophicus	482462	PRJNA357161	SAMN06134492	ASM215783v1	PH-06	PH-06	Illumina;PacBio	5	8080416	100.0		SRR5101406	PACBIO_SMRT	99.39	3.89	100.0
GCF_002157835.1	Mycobacterium dioxanotrophicus	482462	PRJNA357161	SAMN06134492	ASM215783v1	PH-06	PH-06	Illumina;PacBio	5	8080416	100.0		SRR5481011	PACBIO_SMRT	99.39	3.89	100.0
GCF_010730355.1	Mycobacterium florentinum	292462	PRJDB7717	SAMD00153192	ASM1073035v1	JCM 14740	JCM 14740	Illumina;ONT	1	6219859	299.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161277	OXFORD_NANOPORE	98.79	1.33	100.0
GCF_010726765.1	Mycobacterium gallinarum	39689	PRJDB7717	SAMD00153170	ASM1072676v1	JCM 6399	JCM 6399	Illumina;ONT	2	6301681	227.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161255	OXFORD_NANOPORE	99.58	0.58	100.0
GCF_000340435.2	Mycobacterium haemophilum DSM 44634	1202450	PRJNA171821	SAMN01918491	ASM34043v3	ATCC 29548	ATCC 29548	Illumina;PacBio	1	4235765	55.0		SRR2064167	PACBIO_SMRT	98.14	1.44	83.333336
GCF_016861545.1	Mycobacterium heckeshornense	110505	PRJDB10860	SAMD00261041	ASM1686154v1	JMUB5695	JMUB5695	Illumina;Other;ONT	1	4865109	145.0	Complete genome sequence of Mycobacterium heckeshornense	DRR259154	OXFORD_NANOPORE	97.48	0.98	40.0
GCF_016592155.1	Mycobacterium heckeshornense	110505	PRJDB10874	SAMD00265704	ASM1659215v1	JCM 15655	JCM 15655	Illumina;ONT	1	4957188	192.0	Complete genome sequence of Mycobacterium heckeshornense type strain JCM 15655T	DRR260917	OXFORD_NANOPORE	95.25	0.48	20.0
GCF_010730745.1	Mycobacterium heidelbergense	53376	PRJDB7717	SAMD00153194	ASM1073074v1	JCM 14842	JCM 14842	Illumina;ONT	1	5050576	262.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161279	OXFORD_NANOPORE	97.44	0.32	66.666664
GCF_020736005.1	Mycobacterium intracellulare	1767	PRJNA231221	SAMN22091661	ASM2073600v1	FDAARGOS_1564	FDAARGOS_1564	Illumina;PacBio	2	5645778	1091.7		SRR17117384	PACBIO_SMRT	96.61	2.32	65.789474
GCF_021183745.1	Mycobacterium intracellulare	1767	PRJNA231221	SAMN23242881	ASM2118374v1	FDAARGOS_1612	FDAARGOS_1612	Illumina;PacBio	1	5575661	6784.2		SRR17122010	PACBIO_SMRT	97.64	1.58	91.22807
GCF_021183765.1	Mycobacterium intracellulare	1767	PRJNA231221	SAMN23242880	ASM2118376v1	FDAARGOS_1611	FDAARGOS_1611	Illumina;PacBio	1	5489330	4375.3		SRR17121936	PACBIO_SMRT	96.28	1.03	43.85965
GCF_023278485.2	Mycobacterium intracellulare	1767	PRJNA733007	SAMN19357341	ASM2327848v2	S1-32	S1-32	Illumina;PacBio	1	5405563	180.4		SRR14693196	PACBIO_SMRT	97.76	1.1	98.24561
GCF_023278525.2	Mycobacterium intracellulare ATCC 13950	487521	PRJNA733007	SAMN19357339	ASM2327852v2	ATCC 13950	ATCC 13950	Illumina;PacBio	1	5346370	166.5		SRR14693198	PACBIO_SMRT	97.51	0.89	89.47369
GCF_002166795.1	Mycobacterium intracellulare subsp. chimaera	222805	PRJNA344472	SAMN05824346	ASM216679v1	CDC 2015-22-71		PacBio	4	6247694	100.0		SRR5131990	PACBIO_SMRT	96.48	8.72	56.14035
GCF_002166795.1	Mycobacterium intracellulare subsp. chimaera	222805	PRJNA344472	SAMN05824346	ASM216679v1	CDC 2015-22-71		PacBio	4	6247694	100.0		SRR5131989	PACBIO_SMRT	96.48	8.72	56.14035
GCF_009664715.1	Mycobacterium intracellulare subsp. chimaera	222805	PRJNA556438	SAMN13191638	ASM966471v1	AUSMDU00007395	AUSMDU00007395	PacBio	6	6384143	154.0		SRR10520597	PACBIO_SMRT	96.42	9.97	49.122807
GCF_020412405.1	Mycobacterium intracellulare subsp. chimaera	222805	PRJNA767558	SAMN21908196	ASM2041240v1	850	850	Illumina;ONT	6	6280686	190.0		SRR16127352	OXFORD_NANOPORE	96.12	9.14	31.578947
GCF_020412425.1	Mycobacterium intracellulare subsp. chimaera	222805	PRJNA767558	SAMN21908232	ASM2041242v1	852	852	Illumina;ONT	6	6453144	190.0		SRR16127350	OXFORD_NANOPORE	96.51	9.88	59.649124
GCF_021183785.1	Mycobacterium intracellulare subsp. intracellulare	35617	PRJNA231221	SAMN23242879	ASM2118378v1	FDAARGOS_1610	FDAARGOS_1610	Illumina;PacBio	1	5412667	5807.5		SRR17120923	PACBIO_SMRT	97.58	1.12	90.350876
GCF_021183685.1	Mycobacterium kansasii	1768	PRJNA231221	SAMN23242884	ASM2118368v1	FDAARGOS_1615	FDAARGOS_1615	Illumina;PacBio	2	6455194	6394.5		SRR17124558	PACBIO_SMRT	99.14	0.71	91.111115
GCF_021183705.1	Mycobacterium kansasii	1768	PRJNA231221	SAMN23242883	ASM2118370v1	FDAARGOS_1614	FDAARGOS_1614	Illumina;PacBio	2	6453872	6481.4		SRR17124529	PACBIO_SMRT	99.14	0.71	91.111115
GCF_010731535.1	Mycobacterium lacus	169765	PRJDB7717	SAMD00153198	ASM1073153v1	JCM 15657	JCM 15657	Illumina;ONT	1	5092988	183.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161283	OXFORD_NANOPORE	97.48	0.59	50.0
GCF_022374895.2	Mycobacterium lentiflavum	141349	PRJNA747101	SAMN20254258	ASM2237489v2	ATCC 51985	ATCC 51985	PacBio	4	6163560	105.0		SRR21133406	PACBIO_SMRT	99.03	0.56	100.0
GCF_022374895.2	Mycobacterium lentiflavum	141349	PRJNA747101	SAMN20254258	ASM2237489v2	ATCC 51985	ATCC 51985	PacBio	4	6163560	105.0		SRR21285063	PACBIO_SMRT	99.03	0.56	100.0
GCF_019645855.1	Mycobacterium malmoense	1780	PRJNA747101	SAMN20254263	ASM1964585v1	ATCC 29571	ATCC 29571	Illumina;ONT	1	5319859	101.0		SRR21133412	OXFORD_NANOPORE	98.28	1.15	77.77778
GCF_010731775.1	Mycobacterium mantenii	560555	PRJDB7717	SAMD00153211	ASM1073177v1	JCM 18113	JCM 18113	Illumina;ONT	1	6185541	272.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161296	OXFORD_NANOPORE	98.77	0.91	42.857143
GCF_016745295.1	Mycobacterium marinum	1781	PRJNA630296	SAMN14832045	ASM1674529v1	MMA1	MMA1	PacBio	1	6321947	260.0		SRR12073574	PACBIO_SMRT	98.65	1.15	85.86957
GCF_016745295.1	Mycobacterium marinum	1781	PRJNA630296	SAMN14832045	ASM1674529v1	MMA1	MMA1	PacBio	1	6321947	260.0		SRR12073575	PACBIO_SMRT	98.65	1.15	85.86957
GCF_028451225.2	Mycobacterium marinum	1781	PRJNA929715	SAMN32983127	ASM2845122v2	050012	050012	ONT	1	6393703	300.0		SRR23450433	OXFORD_NANOPORE	98.72	0.84	89.13043
GCF_010731675.1	Mycobacterium marseillense	701042	PRJDB7717	SAMD00153206	ASM1073167v1	JCM 17324	JCM 17324	Illumina;ONT	2	5505821	165.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161291	OXFORD_NANOPORE	98.85	0.14	25.0
GCF_010731635.1	Mycobacterium noviomagense	459858	PRJDB7717	SAMD00153203	ASM1073163v1	JCM 16367	JCM 16367	Illumina;ONT	1	4779798	366.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161288	OXFORD_NANOPORE	98.78	0.23	66.666664
GCF_010726505.1	Mycobacterium novum	2492438	PRJDB7717	SAMD00153168	ASM1072650v1	JCM 6391	JCM 6391	Illumina;ONT	1	4458926	326.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161253	OXFORD_NANOPORE	98.56	0.66	100.0
GCF_015265495.1	Mycobacterium orygis	1305738	PRJNA672657	SAMN16564840	ASM1526549v2	MUHC/MB/EPTB/Orygis/51145	MUHC/MB/EPTB/Orygis/51145	PacBio	1	4352140	13.0		SRR12916665	PACBIO_SMRT	98.61		100.0
GCF_015265495.1	Mycobacterium orygis	1305738	PRJNA672657	SAMN16564840	ASM1526549v2	MUHC/MB/EPTB/Orygis/51145	MUHC/MB/EPTB/Orygis/51145	PacBio	1	4352140	13.0		SRR12966358	PACBIO_SMRT	98.61		100.0
GCF_033782915.1	Mycobacterium orygis	1305738	PRJNA1037712	SAMN38195838	ASM3378291v1	NIAB_BDWBCSHFL_1	NIAB_BDWBCSHFL_1	PacBio	1	4347055	187.0		SRR26783283	PACBIO_SMRT	98.61		100.0
GCF_033782915.1	Mycobacterium orygis	1305738	PRJNA1037712	SAMN38195838	ASM3378291v1	NIAB_BDWBCSHFL_1	NIAB_BDWBCSHFL_1	PacBio	1	4347055	187.0		SRR26783284	PACBIO_SMRT	98.61		100.0
GCF_021183725.1	Mycobacterium ostraviense	2738409	PRJNA231221	SAMN23242882	ASM2118372v1	FDAARGOS_1613	FDAARGOS_1613	Illumina;PacBio	1	6127734	3900.7		SRR17124527	PACBIO_SMRT	99.26	0.65	100.0
GCF_010731935.1	Mycobacterium paraintracellulare	1138383	PRJDB7717	SAMD00153220	ASM1073193v1	JCM 30622	JCM 30622	Illumina;ONT	1	5527834	239.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161305	OXFORD_NANOPORE	98.41	0.25	43.75
GCF_022340085.2	Mycobacterium paraintracellulare	1138383	PRJNA733007	SAMN19357345	ASM2234008v2	N6-8	N6-8	Illumina;PacBio	1	5483515	43.5		SRR27394280	PACBIO_SMRT	98.88		100.0
GCF_010731655.1	Mycobacterium paraseoulense	590652	PRJDB7717	SAMD00153204	ASM1073165v1	JCM 16952	JCM 16952	Illumina;ONT	1	6085955	239.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161289	OXFORD_NANOPORE	99.71	0.44	100.0
GCF_022430545.2	Mycobacterium paraterrae	577492	PRJNA747101	SAMN20254271	ASM2243054v2	DSM 45127	DSM 45127	PacBio	1	5522624	81.0		SRR21133402	PACBIO_SMRT	98.59	1.58	50.0
GCF_022430545.2	Mycobacterium paraterrae	577492	PRJNA747101	SAMN20254271	ASM2243054v2	DSM 45127	DSM 45127	PacBio	1	5522624	81.0		SRR21285059	PACBIO_SMRT	98.59	1.58	50.0
GCF_010730575.1	Mycobacterium parmense	185642	PRJDB7717	SAMD00153193	ASM1073057v1	JCM 14742	JCM 14742	Illumina;ONT	1	5952912	351.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161278	OXFORD_NANOPORE	98.54	2.34	33.333332
GCF_024347175.1	Mycobacterium pseudoshottsii	265949	PRJDB12490	SAMD00412666	ASM2434717v1	NJB1907-Z4	NJB1907-Z4	Illumina;PacBio	2	6168102	189.0	Whole genome sequencing of Mycobacterium marinum	DRR409419	PACBIO_SMRT	97.22	0.73	100.0
GCF_033096425.1	Mycobacterium pseudoshottsii	265949	PRJDB15693	SAMD00596220	ASM3309642v1	YM-3	YM-3	Illumina;PacBio	1	6050184	113.0		DRR488392	PACBIO_SMRT	97.22	0.73	100.0
GCF_010729105.1	Mycobacterium saskatchewanense	220927	PRJDB7717	SAMD00153183	ASM1072910v1	JCM 13016	JCM 13016	Illumina;ONT	1	6008916	350.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161268	OXFORD_NANOPORE	99.81	1.97	100.0
GCF_010731595.1	Mycobacterium seoulense	386911	PRJDB7717	SAMD00153201	ASM1073159v1	JCM 16018	JCM 16018	Illumina;ONT	1	5531300	352.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161286	OXFORD_NANOPORE	98.88	0.44	100.0
GCF_010730055.1	Mycobacterium shinjukuense	398694	PRJDB7717	SAMD00153190	ASM1073005v1	JCM 14233	JCM 14233	Illumina;ONT	1	4504020	373.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161275	OXFORD_NANOPORE	95.31	0.44	75.0
GCF_010728525.1	Mycobacterium shottsii	133549	PRJDB7717	SAMD00153180	ASM1072852v1	JCM 12657	JCM 12657	Illumina;ONT	1	5973149	417.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161265	OXFORD_NANOPORE	96.4	0.73	50.0
GCF_010727605.1	Mycobacterium simiae	1784	PRJDB7717	SAMD00153175	ASM1072760v1	JCM 12377	JCM 12377	Illumina;ONT	1	5788994	223.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161260	OXFORD_NANOPORE	98.67	1.78	80.0
GCF_026625985.1	Mycobacterium sp. Aquia_213	2991728	PRJNA777922	SAMN31424470	ASM2662598v1	Aquia_213	Aquia_213	PacBio	1	6003144	152.0		SRR22381797	PACBIO_SMRT	98.72	1.75	100.0
GCF_026723865.1	Mycobacterium sp. Aquia_216	2991729	PRJNA777922	SAMN31424471	ASM2672386v1	Aquia_216	Aquia_216	PacBio	2	6179084	129.0		SRR22381796	PACBIO_SMRT	98.77	0.89	100.0
GCF_039729195.1	Mycobacterium sp. DL	3145017	PRJNA1108959	SAMN41259126	ASM3972919v1	DL	DL	Illumina;ONT	2	6259455	73.0		SRR29006306	OXFORD_NANOPORE	99.83	1.53	100.0
GCF_022317005.1	Mycobacterium sp. IDR2000157661	2867005	PRJNA753109	SAMN20675999	ASM2231700v1			ONT	2	5171893	150.0		SRR15403666	OXFORD_NANOPORE	98.89	0.21	100.0
GCF_036023875.1	Mycobacterium sp. NBC_00419	2975989	PRJNA747871	SAMN30553070	ASM3602387v1	NBC_00419	NBC_00419	ONT	1	5615436	87.0		SRR21630333	OXFORD_NANOPORE	99.67	0.83	100.0
GCF_010731715.1	Mycobacterium stomatepiae	470076	PRJDB7717	SAMD00153208	ASM1073171v1	JCM 17783	JCM 17783	Illumina;ONT	1	6210822	364.0	Whole genome shotgun sequencing of nontuberculosis mycobacteria	DRR161293	OXFORD_NANOPORE	98.03	2.01	50.0
GCF_001544705.1	Mycobacterium tuberculosis	1773	PRJNA270004	SAMN03253058	ASM154470v1	F28	F28	PacBio	1	4421903	94.0		SRR3668215	PACBIO_SMRT	97.24	0.37	31.18779
GCF_001544705.1	Mycobacterium tuberculosis	1773	PRJNA270004	SAMN03253058	ASM154470v1	F28	F28	PacBio	1	4421903	94.0		SRR3668216	PACBIO_SMRT	97.24	0.37	31.18779
GCF_001545015.1	Mycobacterium tuberculosis	1773	PRJNA270004	SAMN03257096	ASM154501v1	22103	22103	PacBio	1	4399422	101.0		SRR3668210	PACBIO_SMRT	95.37	0.37	5.043132
GCF_001545015.1	Mycobacterium tuberculosis	1773	PRJNA270004	SAMN03257096	ASM154501v1	22103	22103	PacBio	1	4399422	101.0		SRR3668212	PACBIO_SMRT	95.37	0.37	5.043132
GCF_001545015.1	Mycobacterium tuberculosis	1773	PRJNA270004	SAMN03257096	ASM154501v1	22103	22103	PacBio	1	4399422	101.0		SRR3668211	PACBIO_SMRT	95.37	0.37	5.043132
GCF_003287125.1	Mycobacterium tuberculosis	1773	PRJNA369711	SAMN06292592	ASM328712v1	H54	H54	PacBio	1	4416938	150.0		SRR5229945	PACBIO_SMRT	97.45	0.37	57.25282
GCF_003287145.1	Mycobacterium tuberculosis	1773	PRJNA369711	SAMN06292590	ASM328714v1	H83	H83	PacBio	1	4413214	150.0		SRR5248874	PACBIO_SMRT	97.34	0.37	47.219643
