Run Accession	Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	Instrument Platform	CheckM completeness	CheckM contamination	CheckM completeness percentile	Assembly Release Date
SRR21415634	GCF_037963325.1	Paenibacillus sp. FSL E2-0201	2954726	PRJNA768416	SAMN29228878	PS02027			Illumina;ONT	1	6783894	268.5		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR19820565	GCF_037963325.1	Paenibacillus sp. FSL E2-0201	2954726	PRJNA768416	SAMN29228878	PS02027			Illumina;ONT	1	6783894	268.5		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR19820722	GCF_037992955.1	Paenibacillus sp. FSL E2-0202	2954505	PRJNA768416	SAMN29228657	PS01332			Illumina;ONT	1	7284758	205.4		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-08
SRR21415899	GCF_037992955.1	Paenibacillus sp. FSL E2-0202	2954505	PRJNA768416	SAMN29228657	PS01332			Illumina;ONT	1	7284758	205.4		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-08
SRR21415633	GCF_037963315.1	Paenibacillus sp. FSL E2-0230	2954727	PRJNA768416	SAMN29228879	PS02028			Illumina;ONT	1	7021979	205.6		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19820564	GCF_037963315.1	Paenibacillus sp. FSL E2-0230	2954727	PRJNA768416	SAMN29228879	PS02028			Illumina;ONT	1	7021979	205.6		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19820532	GCF_037963305.1	Paenibacillus sp. FSL E2-0274	2954728	PRJNA768416	SAMN29228880	PS02029			Illumina;ONT	1	6994851	213.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21415632	GCF_037963305.1	Paenibacillus sp. FSL E2-0274	2954728	PRJNA768416	SAMN29228880	PS02029			Illumina;ONT	1	6994851	213.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21415869	GCF_038593125.1	Paenibacillus sp. FSL F4-0097	2921369	PRJNA768416	SAMN25893835	PS01338	FSL F4-0097	FSL F4-0097	Illumina;ONT	1	6948040	167.2		OXFORD_NANOPORE	98.06	0.81	100.0	2024-04-29
SRR19843405	GCF_038593125.1	Paenibacillus sp. FSL F4-0097	2921369	PRJNA768416	SAMN25893835	PS01338	FSL F4-0097	FSL F4-0097	Illumina;ONT	1	6948040	167.2		OXFORD_NANOPORE	98.06	0.81	100.0	2024-04-29
SRR21415858	GCF_037993005.1	Paenibacillus sp. FSL F4-0100	2921370	PRJNA768416	SAMN25893836	PS01339			Illumina;ONT	1	7699912	417.0		OXFORD_NANOPORE	99.72	0.76	100.0	2024-04-08
SRR19843394	GCF_037993005.1	Paenibacillus sp. FSL F4-0100	2921370	PRJNA768416	SAMN25893836	PS01339			Illumina;ONT	1	7699912	417.0		OXFORD_NANOPORE	99.72	0.76	100.0	2024-04-08
SRR21415627	GCF_037963295.1	Paenibacillus sp. FSL F4-0243	2954732	PRJNA768416	SAMN29228884	PS02033			Illumina;ONT	1	6965501	262.2		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR19820527	GCF_037963295.1	Paenibacillus sp. FSL F4-0243	2954732	PRJNA768416	SAMN29228884	PS02033			Illumina;ONT	1	6965501	262.2		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR21415968	GCF_037982245.1	Paenibacillus sp. FSL H3-0302	2921428	PRJNA768416	SAMN25893894	PS01403			Illumina;ONT	1	6907658	331.5		OXFORD_NANOPORE	97.5	0.81	100.0	2024-04-07
SRR19843378	GCF_037982245.1	Paenibacillus sp. FSL H3-0302	2921428	PRJNA768416	SAMN25893894	PS01403			Illumina;ONT	1	6907658	331.5		OXFORD_NANOPORE	97.5	0.81	100.0	2024-04-07
SRR19820526	GCF_037963285.1	Paenibacillus sp. FSL H3-0329	2954734	PRJNA768416	SAMN29228886	PS02035			Illumina;ONT	1	6873755	341.0		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21415625	GCF_037963285.1	Paenibacillus sp. FSL H3-0329	2954734	PRJNA768416	SAMN29228886	PS02035			Illumina;ONT	1	6873755	341.0		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19843376	GCF_037981725.1	Paenibacillus sp. FSL H3-0457	2921430	PRJNA768416	SAMN25893896	PS01405			Illumina;ONT	1	7007881	185.6		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-07
SRR21415966	GCF_037981725.1	Paenibacillus sp. FSL H3-0457	2921430	PRJNA768416	SAMN25893896	PS01405			Illumina;ONT	1	7007881	185.6		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-07
SRR21415813	GCF_038051945.1	Paenibacillus sp. FSL H3-0469	2954506	PRJNA768416	SAMN29228658	PS01343			Illumina;ONT	1	7769164	288.5		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-11
SRR21362341	GCF_038051945.1	Paenibacillus sp. FSL H3-0469	2954506	PRJNA768416	SAMN29228658	PS01343			Illumina;ONT	1	7769164	288.5		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-11
SRR21416021	GCF_038593195.1	Paenibacillus sp. FSL H7-0350	2975345	PRJNA768416	SAMN30469936	PS01955	FSL H7-0350	FSL H7-0350	Illumina;ONT	1	7553454	190.7		OXFORD_NANOPORE	99.17	0.81	100.0	2024-04-29
SRR21362419	GCF_038593195.1	Paenibacillus sp. FSL H7-0350	2975345	PRJNA768416	SAMN30469936	PS01955	FSL H7-0350	FSL H7-0350	Illumina;ONT	1	7553454	190.7		OXFORD_NANOPORE	99.17	0.81	100.0	2024-04-29
SRR21362364	GCF_037966175.1	Paenibacillus sp. FSL H7-0357	1536774	PRJNA768416	SAMN30469918	PS01869			Illumina;ONT	1	7692657	224.2		OXFORD_NANOPORE	99.11	1.48	100.0	2024-04-06
SRR21415541	GCF_037966175.1	Paenibacillus sp. FSL H7-0357	1536774	PRJNA768416	SAMN30469918	PS01869			Illumina;ONT	1	7692657	224.2		OXFORD_NANOPORE	99.11	1.48	100.0	2024-04-06
SRR21415958	GCF_037980415.1	Paenibacillus sp. FSL H7-0690	2921437	PRJNA768416	SAMN25893903	PS01412			Illumina;ONT	1	6914259	307.0		OXFORD_NANOPORE	98.61	0.63	100.0	2024-04-07
SRR19843368	GCF_037980415.1	Paenibacillus sp. FSL H7-0690	2921437	PRJNA768416	SAMN25893903	PS01412			Illumina;ONT	1	6914259	307.0		OXFORD_NANOPORE	98.61	0.63	100.0	2024-04-07
SRR21416014	GCF_037963275.1	Paenibacillus sp. FSL H7-0737	1536775	PRJNA768416	SAMN29228889	PS02038			Illumina;ONT	1	6765542	277.3		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-06
SRR19820523	GCF_037963275.1	Paenibacillus sp. FSL H7-0737	1536775	PRJNA768416	SAMN29228889	PS02038			Illumina;ONT	1	6765542	277.3		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-06
SRR19843362	GCF_037979415.1	Paenibacillus sp. FSL H7-0940	2921443	PRJNA768416	SAMN25893909	PS01418			Illumina;ONT	1	7097857	482.9		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-07
SRR21415952	GCF_037979415.1	Paenibacillus sp. FSL H7-0940	2921443	PRJNA768416	SAMN25893909	PS01418			Illumina;ONT	1	7097857	482.9		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-07
SRR19820522	GCF_037963265.1	Paenibacillus sp. FSL H7-0943	2954739	PRJNA768416	SAMN29228891	PS02041			Illumina;ONT	1	6893391	237.2		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR21416010	GCF_037963265.1	Paenibacillus sp. FSL H7-0943	2954739	PRJNA768416	SAMN29228891	PS02041			Illumina;ONT	1	6893391	237.2		OXFORD_NANOPORE	98.61	1.37	100.0	2024-04-06
SRR21415564	GCF_037991315.1	Paenibacillus sp. FSL H8-0079	2921375	PRJNA768416	SAMN25893841	PS01347			Illumina;ONT	1	6708762	306.1		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-08
SRR19843321	GCF_037991315.1	Paenibacillus sp. FSL H8-0079	2921375	PRJNA768416	SAMN25893841	PS01347			Illumina;ONT	1	6708762	306.1		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-08
SRR19820520	GCF_037963825.1	Paenibacillus sp. FSL H8-0282	2954741	PRJNA768416	SAMN29228893	PS02043			Illumina;ONT	1	6804354	277.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21416008	GCF_037963825.1	Paenibacillus sp. FSL H8-0282	2954741	PRJNA768416	SAMN29228893	PS02043			Illumina;ONT	1	6804354	277.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19820519	GCF_037963835.1	Paenibacillus sp. FSL H8-0332	2954742	PRJNA768416	SAMN29228894	PS02044			Illumina;ONT	1	7543334	161.0		OXFORD_NANOPORE	99.17	2.48	100.0	2024-04-06
SRR21416007	GCF_037963835.1	Paenibacillus sp. FSL H8-0332	2954742	PRJNA768416	SAMN29228894	PS02044			Illumina;ONT	1	7543334	161.0		OXFORD_NANOPORE	99.17	2.48	100.0	2024-04-06
SRR21416064	GCF_038051935.1	Paenibacillus sp. FSL H8-0457	2921386	PRJNA768416	SAMN25893852	PS01360			Illumina;ONT	1	7122394	277.2		OXFORD_NANOPORE	99.72	0.02	100.0	2024-04-11
SRR19843290	GCF_038051935.1	Paenibacillus sp. FSL H8-0457	2921386	PRJNA768416	SAMN25893852	PS01360			Illumina;ONT	1	7122394	277.2		OXFORD_NANOPORE	99.72	0.02	100.0	2024-04-11
SRR19843276	GCF_038051995.1	Paenibacillus sp. FSL H8-0537	2921399	PRJNA768416	SAMN25893865	PS01374			Illumina;ONT	1	7005912	248.5		OXFORD_NANOPORE	99.72	0.56	100.0	2024-04-11
SRR21415696	GCF_038051995.1	Paenibacillus sp. FSL H8-0537	2921399	PRJNA768416	SAMN25893865	PS01374			Illumina;ONT	1	7005912	248.5		OXFORD_NANOPORE	99.72	0.56	100.0	2024-04-11
SRR21415906	GCF_037977235.1	Paenibacillus sp. FSL K6-0276	2921450	PRJNA768416	SAMN25893916	PS01425			Illumina;ONT	1	6113266	485.6		OXFORD_NANOPORE	98.06	1.48	100.0	2024-04-07
SRR19843355	GCF_037977235.1	Paenibacillus sp. FSL K6-0276	2921450	PRJNA768416	SAMN25893916	PS01425			Illumina;ONT	1	6113266	485.6		OXFORD_NANOPORE	98.06	1.48	100.0	2024-04-07
SRR21415895	GCF_037977055.1	Paenibacillus sp. FSL K6-1096	2921460	PRJNA768416	SAMN25893926	PS01435			Illumina;ONT	1	7194942	209.7		OXFORD_NANOPORE	98.61	0.93	100.0	2024-04-07
SRR19843305	GCF_037977055.1	Paenibacillus sp. FSL K6-1096	2921460	PRJNA768416	SAMN25893926	PS01435			Illumina;ONT	1	7194942	209.7		OXFORD_NANOPORE	98.61	0.93	100.0	2024-04-07
SRR21415892	GCF_037977015.1	Paenibacillus sp. FSL K6-1122	2954512	PRJNA768416	SAMN29228664	PS01438			Illumina;ONT	1	7145828	528.9		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-07
SRR19820616	GCF_037977015.1	Paenibacillus sp. FSL K6-1122	2954512	PRJNA768416	SAMN29228664	PS01438			Illumina;ONT	1	7145828	528.9		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-07
SRR21415884	GCF_037976905.1	Paenibacillus sp. FSL K6-1318	2975291	PRJNA768416	SAMN30469882	PS01446			Illumina;ONT	1	6782226	795.3		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-07
SRR21362401	GCF_037976905.1	Paenibacillus sp. FSL K6-1318	2975291	PRJNA768416	SAMN30469882	PS01446			Illumina;ONT	1	6782226	795.3		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-07
SRR21362400	GCF_037976825.1	Paenibacillus sp. FSL K6-1330	2975292	PRJNA768416	SAMN30469883	PS01448			Illumina;ONT	1	7427485	345.4		OXFORD_NANOPORE	99.68	0.76	100.0	2024-04-06
SRR21415882	GCF_037976825.1	Paenibacillus sp. FSL K6-1330	2975292	PRJNA768416	SAMN30469883	PS01448			Illumina;ONT	1	7427485	345.4		OXFORD_NANOPORE	99.68	0.76	100.0	2024-04-06
SRR21439827	GCF_037976585.1	Paenibacillus sp. FSL k6-2145	2976834	PRJNA768416	SAMN30566022	PS01459			Illumina;ONT	1	7114147	212.1		OXFORD_NANOPORE	99.17	0.56	100.0	2024-04-06
SRR21440766	GCF_037976585.1	Paenibacillus sp. FSL k6-2145	2976834	PRJNA768416	SAMN30566022	PS01459			Illumina;ONT	1	7114147	212.1		OXFORD_NANOPORE	99.17	0.56	100.0	2024-04-06
SRR19843399	GCF_037976325.1	Paenibacillus sp. FSL K6-3182	2921495	PRJNA768416	SAMN25893961	PS01485			Illumina;ONT	1	7559925	195.5		OXFORD_NANOPORE	99.58	0.67	100.0	2024-04-06
SRR21415591	GCF_037976325.1	Paenibacillus sp. FSL K6-3182	2921495	PRJNA768416	SAMN25893961	PS01485			Illumina;ONT	1	7559925	195.5		OXFORD_NANOPORE	99.58	0.67	100.0	2024-04-06
SRR21362360	GCF_037965665.1	Paenibacillus sp. FSL L8-0333	2975331	PRJNA768416	SAMN30469922	PS01889			Illumina;ONT	1	6840164	239.9		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21416127	GCF_037965665.1	Paenibacillus sp. FSL L8-0333	2975331	PRJNA768416	SAMN30469922	PS01889			Illumina;ONT	1	6840164	239.9		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19820647	GCF_038593145.1	Paenibacillus sp. FSL L8-0340	2954685	PRJNA768416	SAMN29228837	PS01973	FSL L8-0340	FSL L8-0340	Illumina;ONT	1	7459600	163.8		OXFORD_NANOPORE	98.56	0.93	100.0	2024-04-29
SRR21415681	GCF_038593145.1	Paenibacillus sp. FSL L8-0340	2954685	PRJNA768416	SAMN29228837	PS01973	FSL L8-0340	FSL L8-0340	Illumina;ONT	1	7459600	163.8		OXFORD_NANOPORE	98.56	0.93	100.0	2024-04-29
SRR19820716	GCF_037965655.1	Paenibacillus sp. FSL L8-0435	2954618	PRJNA768416	SAMN29228770	PS01891			Illumina;ONT	1	7094360	252.2		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-06
SRR21416126	GCF_037965655.1	Paenibacillus sp. FSL L8-0435	2954618	PRJNA768416	SAMN29228770	PS01891			Illumina;ONT	1	7094360	252.2		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-06
SRR21362415	GCF_038593025.1	Paenibacillus sp. FSL L8-0436	2954686	PRJNA768416	SAMN29228838	PS01974	FSL L8-0436	FSL L8-0436	Illumina;ONT	1	7403249	259.4		OXFORD_NANOPORE	98.56	1.04	100.0	2024-04-29
SRR21415680	GCF_038593025.1	Paenibacillus sp. FSL L8-0436	2954686	PRJNA768416	SAMN29228838	PS01974	FSL L8-0436	FSL L8-0436	Illumina;ONT	1	7403249	259.4		OXFORD_NANOPORE	98.56	1.04	100.0	2024-04-29
SRR19357554	GCF_037975415.1	Paenibacillus sp. FSL M7-0896	2921610	PRJNA768416	SAMN26232413	PS01628			Illumina;ONT	1	7732132	246.8		OXFORD_NANOPORE	99.17	0.95	100.0	2024-04-06
SRR19349814	GCF_037975415.1	Paenibacillus sp. FSL M7-0896	2921610	PRJNA768416	SAMN26232413	PS01628			Illumina;ONT	1	7732132	246.8		OXFORD_NANOPORE	99.17	0.95	100.0	2024-04-06
SRR19820582	GCF_038595095.1	Paenibacillus sp. FSL P2-0089	2954526	PRJNA768416	SAMN29228678	PS01647	FSL P2-0089	FSL P2-0089	Illumina;ONT	1	7735646	154.1		OXFORD_NANOPORE	99.17	0.68	100.0	2024-04-30
SRR21415792	GCF_038595095.1	Paenibacillus sp. FSL P2-0089	2954526	PRJNA768416	SAMN29228678	PS01647	FSL P2-0089	FSL P2-0089	Illumina;ONT	1	7735646	154.1		OXFORD_NANOPORE	99.17	0.68	100.0	2024-04-30
SRR19349832	GCF_037975345.1	Paenibacillus sp. FSL P2-0121	2921626	PRJNA768416	SAMN26232429	PS01648			Illumina;ONT	1	6974722	216.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19357536	GCF_037975345.1	Paenibacillus sp. FSL P2-0121	2921626	PRJNA768416	SAMN26232429	PS01648			Illumina;ONT	1	6974722	216.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR21362323	GCF_037975325.1	Paenibacillus sp. FSL P2-0136	2975317	PRJNA768416	SAMN30469908	PS01649			Illumina;ONT	1	7664057	307.8		OXFORD_NANOPORE	99.17	0.98	100.0	2024-04-06
SRR21415791	GCF_037975325.1	Paenibacillus sp. FSL P2-0136	2975317	PRJNA768416	SAMN30469908	PS01649			Illumina;ONT	1	7664057	307.8		OXFORD_NANOPORE	99.17	0.98	100.0	2024-04-06
SRR19357532	GCF_037975265.1	Paenibacillus sp. FSL P4-0176	2921631	PRJNA768416	SAMN26232434	PS01655			Illumina;ONT	1	7284553	392.2		OXFORD_NANOPORE	99.58	0.65	100.0	2024-04-06
SRR19349836	GCF_037975265.1	Paenibacillus sp. FSL P4-0176	2921631	PRJNA768416	SAMN26232434	PS01655			Illumina;ONT	1	7284553	392.2		OXFORD_NANOPORE	99.58	0.65	100.0	2024-04-06
SRR21415673	GCF_037963865.1	Paenibacillus sp. FSL R10-2734	2954691	PRJNA768416	SAMN29228843	PS01980			Illumina;ONT	1	7331725	503.3		OXFORD_NANOPORE	98.61	1.74	100.0	2024-04-06
SRR19820602	GCF_037963865.1	Paenibacillus sp. FSL R10-2734	2954691	PRJNA768416	SAMN29228843	PS01980			Illumina;ONT	1	7331725	503.3		OXFORD_NANOPORE	98.61	1.74	100.0	2024-04-06
SRR19820674	GCF_038593035.1	Paenibacillus sp. FSL R10-2778	2954659	PRJNA768416	SAMN29228811	PS01939	FSL R10-2778	FSL R10-2778	Illumina;ONT	1	6935360	186.6		OXFORD_NANOPORE	98.06	0.81	100.0	2024-04-29
SRR21416037	GCF_038593035.1	Paenibacillus sp. FSL R10-2778	2954659	PRJNA768416	SAMN29228811	PS01939	FSL R10-2778	FSL R10-2778	Illumina;ONT	1	6935360	186.6		OXFORD_NANOPORE	98.06	0.81	100.0	2024-04-29
SRR19820670	GCF_037965315.1	Paenibacillus sp. FSL R10-2796	2954663	PRJNA768416	SAMN29228815	PS01944			Illumina;ONT	1	7279089	329.3		OXFORD_NANOPORE	98.61	1.2	100.0	2024-04-06
SRR21416032	GCF_037965315.1	Paenibacillus sp. FSL R10-2796	2954663	PRJNA768416	SAMN29228815	PS01944			Illumina;ONT	1	7279089	329.3		OXFORD_NANOPORE	98.61	1.2	100.0	2024-04-06
SRR19349841	GCF_037975235.1	Paenibacillus sp. FSL R5-0341	2921636	PRJNA768416	SAMN26232439	PS01661			Illumina;ONT	1	6566274	248.5		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-06
SRR19357527	GCF_037975235.1	Paenibacillus sp. FSL R5-0341	2921636	PRJNA768416	SAMN26232439	PS01661			Illumina;ONT	1	6566274	248.5		OXFORD_NANOPORE	99.72	0.65	100.0	2024-04-06
SRR19349846	GCF_037975205.1	Paenibacillus sp. FSL R5-0470	2921641	PRJNA768416	SAMN26232444	PS01668			Illumina;ONT	1	6845873	134.8		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-06
SRR19357522	GCF_037975205.1	Paenibacillus sp. FSL R5-0470	2921641	PRJNA768416	SAMN26232444	PS01668			Illumina;ONT	1	6845873	134.8		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-06
SRR19357518	GCF_037975155.1	Paenibacillus sp. FSL R5-0486	2921645	PRJNA768416	SAMN26232448	PS01672			Illumina;ONT	1	7235595	246.0		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19349849	GCF_037975155.1	Paenibacillus sp. FSL R5-0486	2921645	PRJNA768416	SAMN26232448	PS01672			Illumina;ONT	1	7235595	246.0		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19357517	GCF_037974935.1	Paenibacillus sp. FSL R5-0490	1920424	PRJNA768416	SAMN26232449	PS01673			Illumina;ONT	1	6861391	303.0		OXFORD_NANOPORE	95.83	0.09	100.0	2024-04-06
SRR19349781	GCF_037974935.1	Paenibacillus sp. FSL R5-0490	1920424	PRJNA768416	SAMN26232449	PS01673			Illumina;ONT	1	6861391	303.0		OXFORD_NANOPORE	95.83	0.09	100.0	2024-04-06
SRR19349782	GCF_037974355.1	Paenibacillus sp. FSL R5-0517	2921647	PRJNA768416	SAMN26232450	PS01674			Illumina;ONT	1	6917362	326.9		OXFORD_NANOPORE	99.17	0.09	100.0	2024-04-06
SRR19357516	GCF_037974355.1	Paenibacillus sp. FSL R5-0517	2921647	PRJNA768416	SAMN26232450	PS01674			Illumina;ONT	1	6917362	326.9		OXFORD_NANOPORE	99.17	0.09	100.0	2024-04-06
SRR19357515	GCF_037974275.1	Paenibacillus sp. FSL R5-0519	2921648	PRJNA768416	SAMN26232451	PS01675			Illumina;ONT	1	6586589	296.1		OXFORD_NANOPORE	95.28	0.09	100.0	2024-04-06
SRR19349784	GCF_037974275.1	Paenibacillus sp. FSL R5-0519	2921648	PRJNA768416	SAMN26232451	PS01675			Illumina;ONT	1	6586589	296.1		OXFORD_NANOPORE	95.28	0.09	100.0	2024-04-06
SRR19349828	GCF_037974255.1	Paenibacillus sp. FSL R5-0636	2921652	PRJNA768416	SAMN26232455	PS01680			Illumina;ONT	1	7059162	186.7		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19357511	GCF_037974255.1	Paenibacillus sp. FSL R5-0636	2921652	PRJNA768416	SAMN26232455	PS01680			Illumina;ONT	1	7059162	186.7		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-06
SRR19357509	GCF_037973995.1	Paenibacillus sp. FSL R5-0701	2921654	PRJNA768416	SAMN26232457	PS01682			Illumina;ONT	1	7137336	257.7		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19349850	GCF_037973995.1	Paenibacillus sp. FSL R5-0701	2921654	PRJNA768416	SAMN26232457	PS01682			Illumina;ONT	1	7137336	257.7		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19349851	GCF_037973325.1	Paenibacillus sp. FSL R5-0713	2921655	PRJNA768416	SAMN26232458	PS01683			Illumina;ONT	1	6788906	459.3		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19357507	GCF_037973325.1	Paenibacillus sp. FSL R5-0713	2921655	PRJNA768416	SAMN26232458	PS01683			Illumina;ONT	1	6788906	459.3		OXFORD_NANOPORE	99.72	0.09	100.0	2024-04-06
SRR19816839	GCF_037972555.1	Paenibacillus sp. FSL R5-0744	2921656	PRJNA768416	SAMN26232459	PS01684			Illumina;ONT	1	6839915	184.4		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-07
SRR21415782	GCF_037972555.1	Paenibacillus sp. FSL R5-0744	2921656	PRJNA768416	SAMN26232459	PS01684			Illumina;ONT	1	6839915	184.4		OXFORD_NANOPORE	98.61	1.09	100.0	2024-04-07
SRR21415781	GCF_038595085.1	Paenibacillus sp. FSL R5-0749	2921657	PRJNA768416	SAMN26232460	PS01685	FSL R5-0749	FSL R5-0749	Illumina;ONT	1	6761576	366.7		OXFORD_NANOPORE	99.17	0.28	100.0	2024-04-30
SRR19816838	GCF_038595085.1	Paenibacillus sp. FSL R5-0749	2921657	PRJNA768416	SAMN26232460	PS01685	FSL R5-0749	FSL R5-0749	Illumina;ONT	1	6761576	366.7		OXFORD_NANOPORE	99.17	0.28	100.0	2024-04-30
SRR21415780	GCF_037971845.1	Paenibacillus sp. FSL R5-0766	2921658	PRJNA768416	SAMN26232461	PS01686			Illumina;ONT	1	7001614	316.7		OXFORD_NANOPORE	99.72	0.37	100.0	2024-04-07
SRR19816837	GCF_037971845.1	Paenibacillus sp. FSL R5-0766	2921658	PRJNA768416	SAMN26232461	PS01686			Illumina;ONT	1	7001614	316.7		OXFORD_NANOPORE	99.72	0.37	100.0	2024-04-07
SRR19820570	GCF_037970855.1	Paenibacillus sp. FSL R5-0912	1536771	PRJNA768416	SAMN29228679	PS01693			Illumina;ONT	1	7717252	194.3		OXFORD_NANOPORE	99.17	1.37	100.0	2024-04-07
SRR21415773	GCF_037970855.1	Paenibacillus sp. FSL R5-0912	1536771	PRJNA768416	SAMN29228679	PS01693			Illumina;ONT	1	7717252	194.3		OXFORD_NANOPORE	99.17	1.37	100.0	2024-04-07
SRR19816828	GCF_037970385.1	Paenibacillus sp. FSL R5-0928	2921667	PRJNA768416	SAMN26232470	PS01696			Illumina;ONT	1	7190617	233.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-07
SRR21415769	GCF_037970385.1	Paenibacillus sp. FSL R5-0928	2921667	PRJNA768416	SAMN26232470	PS01696			Illumina;ONT	1	7190617	233.2		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-07
SRR19820506	GCF_037969975.1	Paenibacillus sp. FSL R7-0163	2954530	PRJNA768416	SAMN29228682	PS01702			Illumina;ONT	1	6859859	425.6		OXFORD_NANOPORE	95.83	0.83	100.0	2024-04-07
SRR21415763	GCF_037969975.1	Paenibacillus sp. FSL R7-0163	2954530	PRJNA768416	SAMN29228682	PS01702			Illumina;ONT	1	6859859	425.6		OXFORD_NANOPORE	95.83	0.83	100.0	2024-04-07
SRR21415758	GCF_037969925.1	Paenibacillus sp. FSL R7-0189	2921673	PRJNA768416	SAMN26232476	PS01705			Illumina;ONT	1	7008155	230.6		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-07
SRR19816822	GCF_037969925.1	Paenibacillus sp. FSL R7-0189	2921673	PRJNA768416	SAMN26232476	PS01705			Illumina;ONT	1	7008155	230.6		OXFORD_NANOPORE	98.61	0.81	100.0	2024-04-07
SRR21415754	GCF_037969915.1	Paenibacillus sp. FSL R7-0216	2921677	PRJNA768416	SAMN26232480	PS01709			Illumina;ONT	1	5219956	258.4		OXFORD_NANOPORE	99.28	0.11	100.0	2024-04-07
SRR19816818	GCF_037969915.1	Paenibacillus sp. FSL R7-0216	2921677	PRJNA768416	SAMN26232480	PS01709			Illumina;ONT	1	5219956	258.4		OXFORD_NANOPORE	99.28	0.11	100.0	2024-04-07
SRR21415752	GCF_037969905.1	Paenibacillus sp. FSL R7-0272	2921679	PRJNA768416	SAMN26232482	PS01711			Illumina;ONT	1	6542498	264.7		OXFORD_NANOPORE	99.72	0.67	100.0	2024-04-07
SRR21362311	GCF_037969905.1	Paenibacillus sp. FSL R7-0272	2921679	PRJNA768416	SAMN26232482	PS01711			Illumina;ONT	1	6542498	264.7		OXFORD_NANOPORE	99.72	0.67	100.0	2024-04-07
SRR21362310	GCF_037969895.1	Paenibacillus sp. FSL R7-0273	1536772	PRJNA768416	SAMN29228683	PS01712			Illumina;ONT	1	7287539	177.6		OXFORD_NANOPORE	98.83	1.37	100.0	2024-04-07
SRR21415751	GCF_037969895.1	Paenibacillus sp. FSL R7-0273	1536772	PRJNA768416	SAMN29228683	PS01712			Illumina;ONT	1	7287539	177.6		OXFORD_NANOPORE	98.83	1.37	100.0	2024-04-07
